"Miners","Eucs","Area","Grazed","Shrubs","Bulokes","Timber","Minerab"
0,2,22,0,1,120,16,0
0,10,11,0,1,67,25,0
1,16,51,0,1,85,13,3
1,20,22,0,1,45,12,2
1,19,4,0,1,160,14,8
1,18,61,0,1,75,6,1
1,12,16,0,1,100,12,8
1,16,14,0,1,321,15,5
0,3,5,0,1,275,8,0
1,12,6,1,0,227,10,4
1,32,3,0,0,23,61,19
0,2,13,1,0,277,22,0
1,16,24,1,0,243,25,2
0,7,32,0,0,117,9,0
1,10,22,1,0,97,35,3
1,15,27,1,0,99,25,1
1,30,18,0,0,45,19,7
1,4,9,1,0,123,22,1
0,4,21,1,1,96,22,0
1,19,14,0,0,261,11,7
0,11,4,1,0,160,45,0
0,0,5,1,0,192,22,0
0,0,19,1,0,323,60,0
0,0,12,1,0,190,48,0
0,3,15,0,1,222,26,0
0,8,38,1,0,148,38,0
0,8,24,0,1,198,28,0
0,15,16,0,1,93,16,0
1,21,6,0,0,88,45,3
1,24,16,1,0,138,21,4
1,15,15,1,0,70,31,6
